,id,label
0,1,13202
1,2,14202
2,3,16202
3,4,18202
4,5,13202
5,6,14202
6,7,16202
7,8,18202
8,9,11202
9,10,13202
10,11,14202
11,12,16202
12,13,18202
13,14,13202
14,15,14202
15,16,16202
16,17,18202
17,18,13202
18,19,14202
19,20,16202
20,21,18202
21,22,13202
22,23,14202
23,24,16202
24,25,18202
25,26,11202
26,27,13202
27,28,14202
28,29,16202
29,30,18202
30,31,14202
31,32,16202
32,33,18202
33,34,13202
34,35,14202
35,36,16202
36,37,18202
37,38,14202
38,39,16202
39,40,18202
40,41,13202
41,42,14202
42,43,16202
43,44,18202
44,45,14202
45,46,16202
46,47,18202
47,48,13202
48,49,14202
49,50,16202
50,51,18202
51,52,14202
52,53,16202
53,54,18202
54,55,14202
55,56,16202
56,57,18202
57,58,14202
58,59,16202
59,60,18202
60,61,14202
61,62,16202
62,63,18202
63,64,14202
64,65,16202
65,66,18202
66,67,13202
67,68,16202
68,69,18202
69,70,13202
70,71,14202
71,72,15202
72,73,16202
73,74,18202
74,75,14202
75,76,15202
76,77,16202
77,78,18202
78,79,13202
79,80,14202
80,81,15202
81,82,16202
82,83,18202
83,84,13202
84,85,14202
85,86,15202
86,87,16202
87,88,18202
88,89,13202
89,90,14202
90,91,15202
91,92,16202
92,93,18202
93,94,13202
94,95,14202
95,96,15202
96,97,16202
97,98,18202
98,99,13202
99,100,14202
100,101,15202
101,102,16202
102,103,18202
103,104,13202
104,105,14202
105,106,15202
106,107,16202
107,108,18202
