,id,label
0,1,17403
1,2,17403
2,3,17403
3,4,17403
4,5,17403
5,6,17403
6,7,17403
7,8,13403
8,9,17403
9,10,18403
10,11,13403
11,12,17403
12,13,18403
13,14,13403
14,15,17403
15,16,18403
16,17,13403
17,18,17403
18,19,18403
19,20,13403
20,21,17403
21,22,18403
22,23,13403
23,24,17403
24,25,18403
25,26,13403
26,27,17403
27,28,18403
28,29,13403
29,30,17403
30,31,18403
31,32,13403
32,33,17403
33,34,18403
34,35,13403
35,36,17403
36,37,18403
37,38,13403
38,39,17403
39,40,18403
40,41,13403
41,42,17403
42,43,18403
43,44,13403
44,45,17403
45,46,18403
46,47,13403
47,48,17403
48,49,18403
49,50,13403
50,51,17403
51,52,18403
52,53,13403
53,54,17403
54,55,18403
55,56,13403
56,57,17403
57,58,18403
58,59,17403
59,60,18403
60,61,13403
61,62,17403
62,63,18403
63,64,13403
64,65,17403
65,66,18403
66,67,13403
67,68,17403
68,69,18403
69,70,13403
70,71,17403
71,72,18403
72,73,13403
73,74,17403
74,75,18403
75,76,13403
76,77,17403
77,78,18403
78,79,13403
79,80,17403
80,81,18403
81,82,13403
82,83,17403
83,84,18403
84,85,13403
85,86,17403
86,87,18403
87,88,13403
88,89,17403
89,90,18403
90,91,13403
91,92,17403
92,93,18403
93,94,13403
94,95,17403
95,96,18403
96,97,13403
97,98,17403
98,99,18403
99,100,13403
100,101,17403
101,102,18403
102,103,13403
103,104,17403
104,105,18403
105,106,13403
106,107,17403
107,108,18403
108,109,13403
109,110,17403
110,111,18403
111,112,13403
112,113,17403
113,114,18403
114,115,13403
115,116,17403
116,117,18403
117,118,13403
118,119,17403
119,120,18403
120,121,13403
121,122,17403
122,123,18403
123,124,13403
124,125,17403
125,126,18403
126,127,13403
127,128,17403
128,129,18403
129,130,13403
130,131,17403
131,132,18403
132,133,13403
133,134,17403
134,135,18403
135,136,13403
136,137,17403
137,138,18403
138,139,13403
139,140,17403
140,141,18403
141,142,13403
142,143,17403
143,144,18403
144,145,13403
145,146,17403
146,147,18403
147,148,13403
148,149,17403
149,150,18403
150,151,13403
151,152,17403
152,153,18403
153,154,13403
154,155,17403
155,156,18403
156,157,13403
157,158,17403
158,159,18403
159,160,13403
160,161,17403
161,162,18403
162,163,13403
163,164,17403
164,165,18403
165,166,13403
166,167,17403
167,168,18403
168,169,13403
169,170,17403
170,171,18403
171,172,13403
172,173,17403
173,174,18403
174,175,13403
175,176,17403
176,177,18403
177,178,13403
178,179,17403
179,180,18403
180,181,13403
181,182,17403
182,183,18403
183,184,13403
184,185,17403
185,186,18403
186,187,13403
187,188,17403
188,189,18403
189,190,13403
190,191,17403
191,192,18403
192,193,13403
193,194,17403
194,195,18403
195,196,13403
196,197,17403
197,198,18403
198,199,13403
199,200,17403
200,201,18403
201,202,13403
202,203,17403
203,204,18403
204,205,13403
205,206,17403
206,207,18403
207,208,13403
208,209,17403
209,210,18403
210,211,13403
211,212,17403
212,213,18403
213,214,13403
214,215,17403
215,216,18403
216,217,13403
217,218,17403
218,219,18403
219,220,13403
220,221,17403
221,222,18403
222,223,13403
223,224,17403
224,225,18403
225,226,13403
226,227,17403
227,228,18403
228,229,13403
229,230,17403
230,231,18403
231,232,13403
232,233,17403
233,234,18403
234,235,13403
235,236,17403
236,237,18403
237,238,13403
238,239,17403
239,240,18403
240,241,13403
241,242,17403
242,243,18403
243,244,13403
244,245,17403
245,246,18403
246,247,13403
247,248,17403
248,249,18403
249,250,13403
250,251,17403
251,252,18403
252,253,13403
253,254,17403
254,255,18403
255,256,13403
256,257,17403
257,258,18403
258,259,13403
259,260,17403
260,261,18403
261,262,13403
262,263,17403
263,264,18403
264,265,13403
265,266,17403
266,267,18403
267,268,13403
268,269,17403
269,270,18403
270,271,13403
271,272,17403
272,273,18403
273,274,13403
274,275,17403
275,276,18403
276,277,13403
277,278,17403
278,279,18403
279,280,13403
280,281,17403
281,282,18403
282,283,13403
283,284,17403
284,285,18403
285,286,13403
286,287,17403
287,288,18403
288,289,13403
289,290,17403
290,291,18403
291,292,13403
292,293,17403
293,294,18403
294,295,13403
295,296,17403
296,297,18403
297,298,13403
298,299,17403
299,300,18403
300,301,13403
301,302,17403
302,303,18403
303,304,13403
304,305,17403
305,306,18403
306,307,13403
307,308,17403
308,309,18403
309,310,13403
310,311,17403
311,312,18403
312,313,13403
313,314,17403
314,315,18403
315,316,13403
316,317,17403
317,318,18403
318,319,13403
319,320,17403
320,321,18403
321,322,13403
322,323,17403
323,324,18403
324,325,13403
325,326,17403
326,327,18403
327,328,13403
328,329,17403
329,330,18403
330,331,13403
331,332,17403
